record_id,golden_id,cpse_source,raw_description,unspsc_code,unit_price_inr
REC_1073,1,ONGC,"BALL VALVE, C.S., 4 IN, 300",40141602,45000
REC_1074,1,BPCL,"BALL VALVE, CS, 300LB, 4 INCH",40141602,45000
REC_1075,1,BPCL,"BALL VALVE, CARBON STEEL, CL-300LB, 4 """,40141602,45000
REC_1076,1,BPCL,"4 INCH, 300, C.S., BALL VALVE",40141602,45000
REC_1077,1,IOCL,"BALL VALVE, CLASS 300, C.S., 4 IN",40141602,45000
REC_1078,1,ONGC,"100 MM, BALL VALVE, CS, 300#",40141602,45000
REC_1079,1,BPCL,"BALL VALVE, 300LB, 4 INCH, CARBON STEEL",40141602,45000
REC_1080,1,BPCL,"CARBON STEEL, BALL VALVE, CL 300, 4 INCH",40141602,45000
REC_1081,1,OIL,"4 IN, CLASS 300LB, BALL VALVE, CS",40141602,45000
REC_1082,1,BPCL,"CARBON STEEL, BALL VALVE, 300#, 4 IN",40141602,45000
REC_1083,1,IOCL,"CLASS 300#, 4 INCH, C.S., BALL VALVE",40141602,45000
REC_1084,1,ONGC,"CL-300#, BALL VALVE, 100 MM, CARBON STEEL",40141602,45000
REC_1085,1,IOCL,"BALL VALVE, CL 300#, CARBON STEEL, 100 MM",40141602,45000
REC_1086,1,IOCL,"BALL VALVE, CLASS 300, CS, 4 IN",40141602,45000
REC_1087,1,ONGC,"100 MM, CLASS 300LB, CARBON STEEL, BALL VALVE",40141602,45000
REC_1088,1,OIL,"CL 300#, CARBON STEEL, BALL VALVE, 4 IN",40141602,45000
REC_1089,1,OIL,"CARBON STEEL, 4 "", CLASS 300LB, BALL VALVE",40141602,45000
REC_1090,1,BPCL,"CS, BALL VALVE, CL-300LB, 100 MM",40141602,45000
REC_1091,1,OIL,"BALL VALVE, CARBON STEEL, CL 300#, 4 IN",40141602,45000
REC_1092,1,ONGC,"BALL VALVE, CARBON STEEL, 4 "", 300",40141602,45000
REC_1093,1,ONGC,"BALL VALVE, 4 "", CLASS 300, C.S.",40141602,45000
REC_1094,1,IOCL,"4 "", BALL VALVE, CL 300, CS",40141602,45000
REC_1095,1,OIL,"BALL VALVE, CLASS 300LB, C.S., 100 MM",40141602,45000
REC_1096,1,ONGC,"4 "", BALL VALVE, CLASS 300LB, CARBON STEEL",40141602,45000
REC_1097,1,OIL,"4 INCH, BALL VALVE, CARBON STEEL, CLASS 300LB",40141602,45000
REC_1098,1,ONGC,"4 "", BALL VALVE, CARBON STEEL, 300#",40141602,45000
REC_1099,1,ONGC,"BALL VALVE, 100 MM, CS, 300",40141602,45000
REC_1100,1,IOCL,"BALL VALVE, 4 IN, CARBON STEEL, CL-300LB",40141602,45000
REC_1101,1,IOCL,"C.S., BALL VALVE, CL-300, 4 """,40141602,45000
REC_1102,1,ONGC,"BALL VALVE, CS, CLASS 300#, 4 """,40141602,45000
REC_1103,1,BPCL,"CARBON STEEL, BALL VALVE, CL-300LB, 100 MM",40141602,45000
REC_1104,1,OIL,"300, 4 "", BALL VALVE, CARBON STEEL",40141602,45000
REC_1105,1,BPCL,"BALL VALVE, 100 MM, CLASS 300LB, CS",40141602,45000
REC_1106,1,ONGC,"CS, 4 INCH, BALL VALVE, CL-300",40141602,45000
REC_1107,1,IOCL,"C.S., BALL VALVE, CLASS 300LB, 4 INCH",40141602,45000
REC_1108,1,OIL,"4 INCH, CS, BALL VALVE, CL 300",40141602,45000
REC_1109,1,ONGC,"4 IN, BALL VALVE, CS, 300LB",40141602,45000
REC_1110,1,BPCL,"100 MM, CLASS 300, CARBON STEEL, BALL VALVE",40141602,45000
REC_1111,1,OIL,"4 INCH, CL 300LB, CS, BALL VALVE",40141602,45000
REC_1112,1,ONGC,"CL 300#, 4 IN, BALL VALVE, C.S.",40141602,45000
REC_1113,1,BPCL,"4 INCH, BALL VALVE, CARBON STEEL, CL-300",40141602,45000
REC_1114,1,OIL,"CS, BALL VALVE, CLASS 300, 4 IN",40141602,45000
REC_1115,1,OIL,"CLASS 300LB, C.S., 100 MM, BALL VALVE",40141602,45000
REC_1116,1,OIL,"BALL VALVE, 4 "", CARBON STEEL, 300",40141602,45000
REC_1117,1,ONGC,"BALL VALVE, CS, CLASS 300#, 4 INCH",40141602,45000
REC_1118,1,BPCL,"4 INCH, CLASS 300LB, CS, BALL VALVE",40141602,45000
REC_1119,1,ONGC,"BALL VALVE, 300#, CS, 4 INCH",40141602,45000
REC_1120,1,OIL,"C.S., 4 "", BALL VALVE, CL 300LB",40141602,45000
REC_1121,1,OIL,"CARBON STEEL, CLASS 300#, BALL VALVE, 4 """,40141602,45000
REC_1122,1,BPCL,"300, 4 IN, BALL VALVE, CARBON STEEL",40141602,45000
REC_1123,1,IOCL,"CLASS 300, 4 IN, BALL VALVE, CS",40141602,45000
REC_1124,1,IOCL,"BALL VALVE, 4 INCH, CLASS 300LB, C.S.",40141602,45000
REC_1125,1,BPCL,"4 "", BALL VALVE, CLASS 300#, C.S.",40141602,45000
REC_1126,1,IOCL,"CLASS 300#, C.S., BALL VALVE, 100 MM",40141602,45000
REC_1127,1,BPCL,"BALL VALVE, CS, CL-300, 100 MM",40141602,45000
REC_1128,1,BPCL,"CL-300LB, C.S., 100 MM, BALL VALVE",40141602,45000
REC_1129,1,BPCL,"C.S., 4 "", BALL VALVE, CL-300LB",40141602,45000
REC_1130,1,IOCL,"C.S., BALL VALVE, 4 INCH, 300#",40141602,45000
REC_1131,1,IOCL,"CS, 100 MM, CL-300, BALL VALVE",40141602,45000
REC_1132,1,OIL,"CL 300, BALL VALVE, C.S., 4 IN",40141602,45000
REC_1133,1,OIL,"CS, CL 300LB, BALL VALVE, 4 INCH",40141602,45000
REC_1134,1,OIL,"CL-300#, 4 "", BALL VALVE, C.S.",40141602,45000
REC_1135,1,IOCL,"4 IN, BALL VALVE, CARBON STEEL, CL-300",40141602,45000
REC_1136,1,IOCL,"CL 300LB, BALL VALVE, CARBON STEEL, 100 MM",40141602,45000
REC_1137,1,BPCL,"C.S., BALL VALVE, 100 MM, CL 300LB",40141602,45000
REC_1138,1,ONGC,"300, CS, BALL VALVE, 100 MM",40141602,45000
REC_1139,1,BPCL,"4 INCH, CARBON STEEL, BALL VALVE, 300LB",40141602,45000
REC_1140,1,OIL,"BALL VALVE, CARBON STEEL, 100 MM, CLASS 300LB",40141602,45000
REC_1141,1,IOCL,"BALL VALVE, 300LB, CARBON STEEL, 4 INCH",40141602,45000
REC_1142,1,IOCL,"4 "", CLASS 300#, BALL VALVE, CS",40141602,45000
REC_1143,1,BPCL,"CLASS 300, CARBON STEEL, 4 "", BALL VALVE",40141602,45000
REC_1144,1,BPCL,"4 "", C.S., BALL VALVE, CL-300#",40141602,45000
REC_1145,1,BPCL,"CL-300LB, 4 INCH, CS, BALL VALVE",40141602,45000
REC_1146,1,IOCL,"4 IN, 300LB, BALL VALVE, CARBON STEEL",40141602,45000
REC_1147,1,OIL,"BALL VALVE, CS, CL 300#, 100 MM",40141602,45000
REC_1148,1,ONGC,"4 INCH, BALL VALVE, 300, CS",40141602,45000
REC_1149,1,IOCL,"CL 300, CS, 4 IN, BALL VALVE",40141602,45000
REC_1150,1,ONGC,"CLASS 300LB, BALL VALVE, C.S., 100 MM",40141602,45000
REC_1151,1,BPCL,"100 MM, CLASS 300, BALL VALVE, CS",40141602,45000
REC_1152,1,ONGC,"BALL VALVE, CS, 300#, 4 """,40141602,45000
REC_1153,1,BPCL,"CS, BALL VALVE, CLASS 300#, 4 """,40141602,45000
REC_1154,1,BPCL,"CARBON STEEL, CL 300LB, 4 "", BALL VALVE",40141602,45000
REC_1155,1,BPCL,"C.S., CLASS 300LB, 100 MM, BALL VALVE",40141602,45000
REC_1156,1,BPCL,"4 IN, C.S., BALL VALVE, 300#",40141602,45000
REC_1157,1,ONGC,"CLASS 300LB, 100 MM, BALL VALVE, C.S.",40141602,45000
REC_1158,1,OIL,"BALL VALVE, C.S., CL 300, 4 """,40141602,45000
REC_1159,1,OIL,"300#, BALL VALVE, CS, 4 IN",40141602,45000
REC_1160,1,IOCL,"BALL VALVE, 4 IN, C.S., CLASS 300",40141602,45000
REC_1161,1,BPCL,"CLASS 300LB, BALL VALVE, 4 IN, CARBON STEEL",40141602,45000
REC_1162,1,BPCL,"CLASS 300#, CARBON STEEL, 4 "", BALL VALVE",40141602,45000
REC_1163,1,IOCL,"C.S., CLASS 300LB, 4 "", BALL VALVE",40141602,45000
REC_1164,1,BPCL,"C.S., CL 300LB, 100 MM, BALL VALVE",40141602,45000
REC_1165,1,OIL,"BALL VALVE, CS, CLASS 300LB, 4 """,40141602,45000
REC_1166,1,BPCL,"CL 300, 100 MM, BALL VALVE, CARBON STEEL",40141602,45000
REC_1167,1,IOCL,"100 MM, CL-300LB, CARBON STEEL, BALL VALVE",40141602,45000
REC_1168,1,BPCL,"CLASS 300#, C.S., 4 INCH, BALL VALVE",40141602,45000
REC_1169,1,BPCL,"BALL VALVE, 4 IN, C.S., CL 300",40141602,45000
REC_1170,1,IOCL,"4 INCH, CARBON STEEL, BALL VALVE, CL-300LB",40141602,45000
REC_1171,1,OIL,"CL 300, 4 IN, CS, BALL VALVE",40141602,45000
REC_1172,1,OIL,"BALL VALVE, CL-300, CS, 100 MM",40141602,45000
REC_1173,1,IOCL,"BALL VALVE, 100 MM, CL-300LB, CARBON STEEL",40141602,45000
REC_1174,1,OIL,"BALL VALVE, CARBON STEEL, 4 IN, CL-300LB",40141602,45000
REC_1175,1,ONGC,"CL-300LB, 100 MM, CS, BALL VALVE",40141602,45000
REC_1176,1,BPCL,"C.S., 4 "", CL 300LB, BALL VALVE",40141602,45000
REC_1177,1,ONGC,"CL-300LB, 4 IN, BALL VALVE, CARBON STEEL",40141602,45000
REC_1178,1,IOCL,"C.S., CL-300LB, 100 MM, BALL VALVE",40141602,45000
REC_1179,1,IOCL,"CS, 300#, BALL VALVE, 4 INCH",40141602,45000
REC_1180,1,ONGC,"4 IN, C.S., CLASS 300, BALL VALVE",40141602,45000
REC_1181,1,BPCL,"CLASS 300#, 4 IN, BALL VALVE, CS",40141602,45000
REC_1182,1,IOCL,"CS, CLASS 300#, 4 "", BALL VALVE",40141602,45000
REC_1183,1,OIL,"CL 300, 4 IN, BALL VALVE, CARBON STEEL",40141602,45000
REC_1184,1,OIL,"CL 300, C.S., 4 "", BALL VALVE",40141602,45000
REC_1185,1,IOCL,"CARBON STEEL, CL 300LB, 100 MM, BALL VALVE",40141602,45000
REC_1186,1,IOCL,"4 INCH, BALL VALVE, 300, CS",40141602,45000
REC_1187,1,ONGC,"C.S., 100 MM, BALL VALVE, CL-300#",40141602,45000
REC_1188,1,OIL,"BALL VALVE, 4 "", CS, 300LB",40141602,45000
REC_1189,1,BPCL,"300LB, 4 "", C.S., BALL VALVE",40141602,45000
REC_1190,1,BPCL,"BALL VALVE, CARBON STEEL, 4 "", CLASS 300",40141602,45000
REC_1191,1,OIL,"300, 100 MM, BALL VALVE, C.S.",40141602,45000
REC_1192,1,IOCL,"C.S., 100 MM, 300LB, BALL VALVE",40141602,45000
REC_1193,1,BPCL,"BALL VALVE, CARBON STEEL, 4 INCH, CLASS 300#",40141602,45000
REC_1194,1,IOCL,"C.S., 4 INCH, 300, BALL VALVE",40141602,45000
REC_1195,1,BPCL,"CLASS 300#, CS, BALL VALVE, 4 IN",40141602,45000
REC_1196,1,BPCL,"BALL VALVE, CL 300, CARBON STEEL, 4 INCH",40141602,45000
REC_1197,1,BPCL,"BALL VALVE, CL-300, 4 INCH, CARBON STEEL",40141602,45000
REC_1198,1,BPCL,"4 IN, BALL VALVE, CS, CL-300LB",40141602,45000
REC_1199,1,BPCL,"BALL VALVE, 4 INCH, CL-300, C.S.",40141602,45000
REC_1200,1,OIL,"CS, 4 "", BALL VALVE, CLASS 300#",40141602,45000
REC_1201,1,BPCL,"300LB, BALL VALVE, C.S., 4 """,40141602,45000
REC_1202,1,BPCL,"CS, 4 IN, BALL VALVE, CL-300#",40141602,45000
REC_1203,1,BPCL,"BALL VALVE, CL 300#, 100 MM, C.S.",40141602,45000
REC_1204,1,ONGC,"CL-300LB, C.S., 100 MM, BALL VALVE",40141602,45000
REC_1205,1,BPCL,"4 IN, BALL VALVE, C.S., CL-300#",40141602,45000
REC_1206,1,IOCL,"BALL VALVE, CARBON STEEL, CL-300LB, 4 IN",40141602,45000
REC_1207,1,IOCL,"4 INCH, BALL VALVE, 300#, CS",40141602,45000
REC_1208,1,OIL,"4 IN, CS, 300, BALL VALVE",40141602,45000
REC_1209,1,IOCL,"CLASS 300, C.S., 4 INCH, BALL VALVE",40141602,45000
REC_1210,1,BPCL,"100 MM, CS, BALL VALVE, CLASS 300LB",40141602,45000
REC_1211,1,OIL,"100 MM, BALL VALVE, CLASS 300#, CARBON STEEL",40141602,45000
REC_1212,1,BPCL,"4 INCH, BALL VALVE, CLASS 300#, C.S.",40141602,45000
REC_1213,1,BPCL,"300LB, CARBON STEEL, BALL VALVE, 4 IN",40141602,45000
REC_1214,1,IOCL,"BALL VALVE, CARBON STEEL, CLASS 300#, 4 INCH",40141602,45000
REC_1215,1,OIL,"CLASS 300LB, BALL VALVE, 4 IN, CARBON STEEL",40141602,45000
REC_1216,1,IOCL,"100 MM, CL-300#, BALL VALVE, C.S.",40141602,45000
REC_1217,1,BPCL,"C.S., 100 MM, CLASS 300LB, BALL VALVE",40141602,45000
REC_1218,1,OIL,"C.S., CLASS 300LB, 4 INCH, BALL VALVE",40141602,45000
REC_1219,1,OIL,"BALL VALVE, 4 INCH, C.S., CL 300LB",40141602,45000
REC_1220,1,IOCL,"4 IN, 300LB, BALL VALVE, CS",40141602,45000
REC_1221,1,ONGC,"BALL VALVE, CL-300, 4 "", CS",40141602,45000
REC_1222,1,OIL,"BALL VALVE, 4 IN, CARBON STEEL, 300#",40141602,45000
REC_1223,1,BPCL,"300LB, C.S., 100 MM, BALL VALVE",40141602,45000
REC_1224,1,IOCL,"C.S., BALL VALVE, 100 MM, CL 300",40141602,45000
REC_1225,1,IOCL,"CLASS 300#, CS, BALL VALVE, 100 MM",40141602,45000
REC_1226,1,OIL,"4 "", BALL VALVE, CARBON STEEL, CLASS 300#",40141602,45000
REC_1227,1,ONGC,"CL 300, BALL VALVE, C.S., 100 MM",40141602,45000
REC_1228,1,BPCL,"BALL VALVE, 100 MM, C.S., 300#",40141602,45000
REC_1229,1,BPCL,"BALL VALVE, 4 INCH, CL-300#, C.S.",40141602,45000
REC_1230,1,OIL,"BALL VALVE, CARBON STEEL, 4 INCH, CL-300",40141602,45000
REC_1231,1,BPCL,"CLASS 300LB, 4 INCH, BALL VALVE, CARBON STEEL",40141602,45000
REC_1232,1,IOCL,"BALL VALVE, 4 INCH, 300LB, C.S.",40141602,45000
REC_1233,1,OIL,"4 IN, 300#, C.S., BALL VALVE",40141602,45000
REC_1234,1,OIL,"CL-300, C.S., BALL VALVE, 4 """,40141602,45000
REC_1235,1,ONGC,"CL 300, C.S., BALL VALVE, 4 INCH",40141602,45000
REC_1236,1,ONGC,"CL-300LB, BALL VALVE, 100 MM, CARBON STEEL",40141602,45000
REC_1237,1,IOCL,"4 IN, C.S., BALL VALVE, CL 300#",40141602,45000
REC_1238,1,ONGC,"CS, 300#, 100 MM, BALL VALVE",40141602,45000
REC_1239,1,BPCL,"CARBON STEEL, BALL VALVE, 4 INCH, CLASS 300#",40141602,45000
REC_1240,1,IOCL,"4 INCH, BALL VALVE, CLASS 300, CS",40141602,45000
REC_1241,1,IOCL,"BALL VALVE, CARBON STEEL, 4 INCH, CL-300#",40141602,45000
REC_1242,1,IOCL,"C.S., BALL VALVE, 100 MM, CL-300#",40141602,45000
REC_1243,1,IOCL,"CLASS 300LB, BALL VALVE, 4 INCH, CARBON STEEL",40141602,45000
REC_1244,1,BPCL,"CL 300, C.S., 4 INCH, BALL VALVE",40141602,45000
REC_1245,1,OIL,"300, 100 MM, C.S., BALL VALVE",40141602,45000
REC_1246,1,BPCL,"BALL VALVE, 4 IN, CS, CLASS 300#",40141602,45000
REC_1247,1,ONGC,"CL-300#, 100 MM, C.S., BALL VALVE",40141602,45000
REC_1248,1,BPCL,"CL 300, BALL VALVE, C.S., 4 """,40141602,45000
REC_1249,1,OIL,"BALL VALVE, CL 300, C.S., 4 INCH",40141602,45000
REC_1250,1,IOCL,"CS, BALL VALVE, 100 MM, CL-300",40141602,45000
REC_1251,1,ONGC,"4 INCH, CLASS 300LB, C.S., BALL VALVE",40141602,45000
REC_1252,1,IOCL,"CARBON STEEL, 4 "", CL 300, BALL VALVE",40141602,45000
REC_1253,1,IOCL,"BALL VALVE, CARBON STEEL, 4 INCH, CL-300",40141602,45000
REC_1254,1,ONGC,"100 MM, CL-300, BALL VALVE, CARBON STEEL",40141602,45000
REC_1255,1,ONGC,"BALL VALVE, CL 300#, 4 IN, C.S.",40141602,45000
REC_1256,1,ONGC,"4 IN, 300#, BALL VALVE, CS",40141602,45000
REC_1257,1,IOCL,"100 MM, C.S., CL-300#, BALL VALVE",40141602,45000
REC_1258,1,ONGC,"4 "", CS, BALL VALVE, CL 300LB",40141602,45000
REC_1259,1,IOCL,"BALL VALVE, 4 IN, CL-300, C.S.",40141602,45000
REC_1260,1,OIL,"CL-300LB, BALL VALVE, 4 INCH, CS",40141602,45000
REC_1261,1,OIL,"BALL VALVE, 100 MM, C.S., CL 300LB",40141602,45000
REC_1262,1,ONGC,"100 MM, CS, BALL VALVE, CLASS 300#",40141602,45000
REC_1263,1,BPCL,"CARBON STEEL, BALL VALVE, CLASS 300LB, 4 IN",40141602,45000
REC_1264,1,BPCL,"4 IN, CL 300LB, BALL VALVE, CARBON STEEL",40141602,45000
REC_1265,1,IOCL,"CL 300#, BALL VALVE, CARBON STEEL, 4 INCH",40141602,45000
REC_1266,1,ONGC,"CL 300#, BALL VALVE, CARBON STEEL, 4 IN",40141602,45000
REC_1267,1,ONGC,"BALL VALVE, CL-300LB, C.S., 4 IN",40141602,45000
REC_1268,1,BPCL,"BALL VALVE, 300LB, 100 MM, CARBON STEEL",40141602,45000
REC_1269,1,ONGC,"BALL VALVE, 300#, 4 "", C.S.",40141602,45000
REC_1270,1,IOCL,"C.S., BALL VALVE, 4 IN, CL 300LB",40141602,45000
REC_1271,1,OIL,"BALL VALVE, CL-300LB, 4 INCH, CS",40141602,45000
REC_1272,1,ONGC,"BALL VALVE, 300#, CS, 100 MM",40141602,45000
REC_1273,1,OIL,"C.S., 4 "", CL 300, BALL VALVE",40141602,45000
REC_1274,1,OIL,"BALL VALVE, CL-300#, CS, 4 IN",40141602,45000
REC_1275,1,BPCL,"4 "", C.S., BALL VALVE, CLASS 300",40141602,45000
REC_1276,1,ONGC,"300, 4 "", BALL VALVE, CS",40141602,45000
REC_1277,1,OIL,"BALL VALVE, CL-300#, CS, 4 """,40141602,45000
REC_1278,1,BPCL,"4 INCH, BALL VALVE, CARBON STEEL, 300LB",40141602,45000
REC_1279,1,OIL,"BALL VALVE, C.S., 4 INCH, CL 300#",40141602,45000
REC_1280,1,ONGC,"BALL VALVE, C.S., 4 "", CL-300#",40141602,45000
REC_1281,1,IOCL,"CS, 4 "", CLASS 300LB, BALL VALVE",40141602,45000
REC_1282,1,IOCL,"BALL VALVE, CL-300, CARBON STEEL, 4 IN",40141602,45000
REC_1283,1,IOCL,"BALL VALVE, 4 INCH, CS, CL-300",40141602,45000
REC_1284,1,ONGC,"4 IN, CL 300, BALL VALVE, C.S.",40141602,45000
REC_1285,1,ONGC,"CLASS 300LB, 4 IN, CS, BALL VALVE",40141602,45000
REC_1286,1,ONGC,"BALL VALVE, CLASS 300LB, CS, 100 MM",40141602,45000
REC_1287,1,IOCL,"CL 300#, 4 INCH, BALL VALVE, CS",40141602,45000
REC_1288,1,OIL,"CL 300#, CARBON STEEL, 100 MM, BALL VALVE",40141602,45000
REC_1289,1,BPCL,"BALL VALVE, CS, 4 INCH, CL 300#",40141602,45000
REC_1290,1,IOCL,"CL 300, BALL VALVE, 4 "", CS",40141602,45000
REC_1291,1,BPCL,"BALL VALVE, CL-300, CARBON STEEL, 100 MM",40141602,45000
REC_1292,1,OIL,"300LB, CARBON STEEL, BALL VALVE, 4 IN",40141602,45000
REC_1293,1,ONGC,"CLASS 300#, BALL VALVE, 4 INCH, CARBON STEEL",40141602,45000
REC_1294,1,ONGC,"CL-300LB, CARBON STEEL, 4 IN, BALL VALVE",40141602,45000
REC_1295,1,ONGC,"BALL VALVE, CARBON STEEL, CLASS 300, 4 INCH",40141602,45000
REC_1296,1,OIL,"BALL VALVE, 100 MM, CLASS 300LB, CARBON STEEL",40141602,45000
REC_1297,1,OIL,"4 INCH, CLASS 300LB, CARBON STEEL, BALL VALVE",40141602,45000
REC_1298,1,OIL,"4 "", BALL VALVE, CL-300LB, C.S.",40141602,45000
REC_1299,1,ONGC,"100 MM, BALL VALVE, 300#, CS",40141602,45000
REC_1300,1,ONGC,"BALL VALVE, 100 MM, CS, CLASS 300",40141602,45000
REC_1301,1,IOCL,"BALL VALVE, CL 300#, C.S., 4 INCH",40141602,45000
